"이수구분","수강
인원","허용
인원","수강
정원","공개
여부","비공개사유","과목명","분반","학점","시간","담당교수","강의언어
(Language)","교양영역
구분","교양영역
상세구분","상대/절대
평가구분","인증
구분","수강대상","설강
여부","강의실","시간","학과","수업
시간","강의계획서","강의계획서여부"
"교양","26","70","70","공개","","경영과창업의이해","11","3","3","송병연","한국어","핵심교양","사회","상대평가Ⅰ","일반","전체(학부)","일반","익산:교양관 2205 ","수 7-A,수 7-B,금 6-A,금 6-B,금 7-A,금 7-B","","50분","강의계획서","Y"
"교양","52","70","70","공개","","경제학의이해(Introduction to Economics)","1","3","3","송영남","English","핵심교양","사회","상대평가Ⅰ","일반","전체(학부)","일반","전주:상과대학 1호관 201 ","월 3-A,월 3-B,월 4-A,월 4-B,수 3-A,수 3-B","국제이공학부(엔지니어링사이언스) 1","50분","강의계획서","Y"
"교양","68","70","70","공개","","경제학의이해","2","3","3","박태식","한국어","핵심교양","사회","상대평가Ⅰ","일반","전체(학부)","일반","전주:상과대학 2호관 109 ","화 6-A,화 6-B,화 7-A,화 7-B,목 8-A,목 8-B","","50분","강의계획서","Y"
"교양","68","70","70","공개","","경제학의이해","3","3","3","송영남","한국어","핵심교양","사회","상대평가Ⅰ","일반","전체(학부)","일반","전주:상과대학 1호관 201 ","월 8-A,월 8-B,월 9-A,월 9-B,수 8-A,수 8-B","","50분","강의계획서","Y"
"교양","69","70","70","공개","","경제학의이해","4","3","3","최정은","한국어","핵심교양","사회","상대평가Ⅰ","일반","전체(학부)","일반","전주:상과대학 2호관 109 ","수 4-A,수 4-B,금 3-A,금 3-B,금 4-A,금 4-B","","50분","강의계획서","Y"
"교양","66","70","70","공개","","경제학의이해","5","3","3","최정은","한국어","핵심교양","사회","상대평가Ⅰ","일반","전체(학부)","일반","전주:상과대학 2호관 109 ","수 2-A,수 2-B,금 1-A,금 1-B,금 2-A,금 2-B","","50분","강의계획서","Y"
"교양","64","70","70","공개","","경제학의이해","6","3","3","박태식","한국어","핵심교양","사회","상대평가Ⅰ","일반","전체(학부)","일반","전주:상과대학 2호관 109 ","화 8-A,화 8-B,목 6-A,목 6-B,목 7-A,목 7-B","","50분","강의계획서","Y"
"교양","68","70","70","공개","","경제학의이해","7","3","3","홍성훈","한국어","핵심교양","사회","상대평가Ⅰ","일반","전체(학부)","일반","전주:상과대학 3호관 104 ","월 8-A,월 8-B,월 9-A,월 9-B,수 8-A,수 8-B","","50분","강의계획서","Y"
"교양","89","90","90","공개","","과학사의이해","1","3","3","김화선","한국어","핵심교양","자연","상대평가Ⅰ","일반","전체(학부)","일반","전주:자연과학대학3호관 301 ","화 1-A,화 1-B,화 2-A,화 2-B,목 3-A,목 3-B","","50분","강의계획서","Y"
"교양","89","90","90","공개","","과학사의이해","2","3","3","이문규","한국어","핵심교양","자연","상대평가Ⅰ","일반","전체(학부)","일반","전주:자연과학대학본관 525 ","월 3-A,월 3-B,월 4-A,월 4-B,수 3-A,수 3-B","","50분","강의계획서","Y"
"교양","89","90","90","공개","","과학사의이해","3","3","3","신미영","한국어","핵심교양","자연","상대평가Ⅰ","일반","전체(학부)","일반","전주:자연과학대학3호관 301 ","월 6-A,월 6-B,월 7-A,월 7-B,수 6-A,수 6-B","","50분","강의계획서","Y"
"교양","89","90","90","공개","","과학사의이해","4","3","3","박희경","한국어","핵심교양","자연","상대평가Ⅰ","일반","전체(학부)","일반","전주:자연과학대학3호관 301 ","수 7-A,수 7-B,금 6-A,금 6-B,금 7-A,금 7-B","","50분","강의계획서","Y"
"교양","63","69","69","공개","","기초생물학","1","3","3","김환규","한국어","핵심교양","자연","상대평가Ⅰ","공학","전체(학부)","일반","전주:자연과학대학2호관 402 ","월 1-A,월 1-B,월 2-A,월 2-B,수 1-A,수 1-B","화학공학부 1","50분","강의계획서","Y"
"교양","68","70","70","공개","","기초생물학","2","3","3","장용석","한국어","핵심교양","자연","상대평가Ⅰ","공학","전체(학부)","일반","전주:공과대학 6호관 309 ","월 1-A,월 1-B,월 2-A,월 2-B,수 1-A,수 1-B","화학공학부 1","50분","강의계획서","Y"
"교양","68","70","70","공개","","기초생물학","3","3","3","윤승운","한국어","핵심교양","자연","상대평가Ⅰ","일반","전체(학부)","일반","전주:자연과학대학2호관 410 ","수 4-A,수 4-B,금 3-A,금 3-B,금 4-A,금 4-B","","50분","강의계획서","Y"
"교양","68","70","70","공개","","기초생물학","4","3","3","이경태","한국어","핵심교양","자연","상대평가Ⅰ","일반","전체(학부)","일반","전주:자연과학대학4호관 312 ","수 7-A,수 7-B,금 6-A,금 6-B,금 7-A,금 7-B","","50분","강의계획서","Y"
"교양","69","70","70","공개","","기초생물학","5","3","3","유동진","한국어","핵심교양","자연","상대평가Ⅰ","일반","전체(학부)","일반","전주:전대 학술문화관 105 ","화 3-A,화 3-B,목 1-A,목 1-B,목 2-A,목 2-B","","50분","강의계획서","Y"
"교양","69","70","70","공개","","기초생물학","6","3","3","박종영","한국어","핵심교양","자연","상대평가Ⅰ","일반","전체(학부)","일반","전주:자연과학대학2호관 410 ","화 6-A,화 6-B,화 7-A,화 7-B,목 8-A,목 8-B","","50분","강의계획서","Y"
"교양","19","60","60","비공개","현장수강신청","대학수학","1","2","3","최창권","한국어","핵심교양","자연","상대평가Ⅰ","일반","전체(학부)","일반","전주:공과대학 1호관 321 ","수 7-A,수 7-B,금 6-A,금 6-B,금 7-A,금 7-B","자연대 1학년,대학본부(학부) 1학년,공대 1학년","50분","강의계획서","Y"
"교양","7","60","60","비공개","현장수강신청","대학수학","3","2","3","이광철","한국어","핵심교양","자연","상대평가Ⅰ","일반","전체(학부)","일반","전주:공과대학 2호관 418 ","월 3-A,월 3-B,월 4-A,월 4-B,수 3-A,수 3-B","공대 1학년","50분","강의계획서","Y"
"교양","23","60","60","비공개","현장수강신청","대학수학","4","2","3","이미성","한국어","핵심교양","자연","상대평가Ⅰ","일반","전체(학부)","일반","전주:공과대학 1호관 321 ","수 2-A,수 2-B,금 1-A,금 1-B,금 2-A,금 2-B","공대 1학년","50분","강의계획서","Y"
"교양","16","60","60","비공개","현장수강신청","대학수학","5","2","3","이광철","한국어","핵심교양","자연","상대평가Ⅰ","일반","전체(학부)","일반","전주:농업생명과학대학2호관 405 ","월 1-A,월 1-B,월 2-A,월 2-B,수 1-A,수 1-B","사대 1학년,자연대 1학년,농대 1학년,공대 1학년","50분","강의계획서","Y"
"교양","16","60","60","비공개","현장수강신청","대학수학","6","2","3","이미성","한국어","핵심교양","자연","상대평가Ⅰ","일반","전체(학부)","일반","전주:농업생명과학대학2호관 405 ","화 1-A,화 1-B,화 2-A,화 2-B,목 3-A,목 3-B","자연대 1학년,농대 1학년,대학본부(학부) 1학년","50분","강의계획서","Y"
"교양","66","70","70","공개","","동양사의이해","1","3","3","염경이","한국어","핵심교양","인간","상대평가Ⅰ","일반","전체(학부)","일반","전주:진수당 303 ","월 6-A,월 6-B,월 7-A,월 7-B,수 6-A,수 6-B","","50분","강의계획서","Y"
"교양","70","70","70","공개","","동양사의이해","2","3","3","염경이","한국어","핵심교양","인간","상대평가Ⅰ","일반","전체(학부)","일반","전주:인문대학1호관 405 ","화 1-A,화 1-B,화 2-A,화 2-B,목 3-A,목 3-B","","50분","강의계획서","Y"
"교양","70","70","70","공개","","동양사의이해","3","3","3","염경이","한국어","핵심교양","인간","상대평가Ⅰ","일반","전체(학부)","일반","전주:진수당 352 ","화 3-A,화 3-B,목 1-A,목 1-B,목 2-A,목 2-B","","50분","강의계획서","Y"
"교양","49","70","70","공개","","문화의이해(Introduction to Cultural Anthropology)","1","3","3","최희정","English","핵심교양","인간","상대평가Ⅰ","일반","전체(학부)","일반","전주:글로벌인재관 219 ","화 1-A,화 1-B,화 2-A,화 2-B,목 3-A,목 3-B","국제인문사회학부(지미카터국제협력) 1","50분","강의계획서","Y"
"교양","69","70","70","공개","","문화의이해","2","3","3","김주영","한국어","핵심교양","인간","상대평가Ⅰ","일반","전체(학부)","일반","전주:사범대 본관 508 ","화 6-A,화 6-B,화 7-A,화 7-B,목 8-A,목 8-B","","50분","강의계획서","Y"
"교양","70","70","70","공개","","문화의이해","3","3","3","김희숙","한국어","핵심교양","인간","상대평가Ⅰ","일반","전체(학부)","일반","전주:인문대학2호관 506 ","월 6-A,월 6-B,월 7-A,월 7-B,수 6-A,수 6-B","","50분","강의계획서","Y"
"교양","68","70","70","공개","","문화의이해","4","3","3","이선희","한국어","핵심교양","인간","상대평가Ⅰ","일반","전체(학부)","일반","전주:인문대학1호관 405 ","화 3-A,화 3-B,목 1-A,목 1-B,목 2-A,목 2-B","","50분","강의계획서","Y"
"교양","70","70","70","공개","","문화의이해","5","3","3","오세미나","한국어","핵심교양","인간","상대평가Ⅰ","일반","전체(학부)","일반","전주:진수당 353 ","화 1-A,화 1-B,화 2-A,화 2-B,목 3-A,목 3-B","","50분","강의계획서","Y"
"교양","68","70","70","공개","","문화의이해","6","3","3","박세진","한국어","핵심교양","인간","상대평가Ⅰ","일반","전체(학부)","일반","전주:과학관 415 ","수 2-A,수 2-B,금 1-A,금 1-B,금 2-A,금 2-B","","50분","강의계획서","Y"
"교양","30","70","70","공개","","문화의이해","7","3","3","이창환","한국어","핵심교양","인간","상대평가Ⅰ","일반","전체(학부)","일반","익산:도서관 5303 ","화 3-A,화 3-B,목 1-A,목 1-B,목 2-A,목 2-B","","50분","강의계획서","Y"
"교양","70","70","70","공개","","문화의이해","8","3","3","한유석","한국어","핵심교양","인간","상대평가Ⅰ","일반","전체(학부)","일반","전주:전대 학술문화관 104 ","화 6-A,화 6-B,화 7-A,화 7-B,목 8-A,목 8-B","","50분","강의계획서","Y"
"교양","14","70","70","비공개","학과요청","법학의이해","1","3","3","황태윤","한국어","핵심교양","사회","상대평가Ⅰ","일반","전체(학부)","일반","전주:공과대학 5호관 311 ","토 8-A,토 8-B,토 9-A,토 9-B,토 10-A,토 10-B","소프트웨어공학과(재) 1,융합기술공학부(IT융합기전공학)(재) 1","50분","강의계획서","Y"
"교양","70","70","70","공개","","법학의이해","3","3","3","조현욱","한국어","핵심교양","사회","상대평가Ⅰ","일반","전체(학부)","일반","전주:농업생명과학대학2호관강당 100-2 ","수 2-A,수 2-B,금 1-A,금 1-B,금 2-A,금 2-B","","50분","강의계획서","Y"
"교양","67","70","70","공개","","법학의이해","4","3","3","최동배","한국어","핵심교양","사회","상대평가Ⅰ","일반","전체(학부)","일반","전주:진수당 352 ","화 1-A,화 1-B,화 2-A,화 2-B,목 3-A,목 3-B","","50분","강의계획서","Y"
"교양","69","70","70","공개","","법학의이해","5","3","3","김성진","한국어","핵심교양","사회","상대평가Ⅰ","일반","전체(학부)","일반","전주:공과대학 2호관 418 ","수 4-A,수 4-B,금 3-A,금 3-B,금 4-A,금 4-B","","50분","강의계획서","Y"
"교양","19","70","70","비공개","학과요청","법학의이해","6","3","3","김동근","한국어","핵심교양","사회","상대평가Ⅰ","일반","전체(학부)","일반",":  ","목 11-A,목 11-B,목 12-A,목 12-B,목 13-A,목 13-B","농업시스템학과 3","50분","강의계획서","Y"
"교양","62","70","70","공개","","사회학의초대(Invitation to Sociology)","1","3","3","손현주","English","핵심교양","사회","상대평가Ⅰ","일반","전체(학부)","일반","전주:글로벌인재관 219 ","수 7-A,수 7-B,금 6-A,금 6-B,금 7-A,금 7-B","국제인문사회학부(지미카터국제협력) 1","50분","강의계획서","Y"
"교양","15","70","70","비공개","학과요청","사회학의초대","2","3","3","최준호","한국어","핵심교양","사회","상대평가Ⅰ","일반","전체(학부)","온·오프라인강좌","전주:농업생명과학대학본관 218 ","토 8-A,토 8-B,토 9-A,토 9-B,토 10-A,토 10-B","생명자원융합학과 1,산림환경과학과(재) 1","50분","강의계획서","Y"
"교양","65","70","70","공개","","사회학의초대","3","3","3","고재훈","한국어","핵심교양","사회","상대평가Ⅰ","일반","전체(학부)","일반","전주:자연과학대학3호관 301 ","월 8-A,월 8-B,월 9-A,월 9-B,수 8-A,수 8-B","","50분","강의계획서","Y"
"교양","68","70","70","공개","","사회학의초대","4","3","3","이지연","한국어","핵심교양","사회","상대평가Ⅰ","일반","전체(학부)","일반","전주:예술대학 본관 5080 ","월 3-A,월 3-B,월 4-A,월 4-B,수 3-A,수 3-B","","50분","강의계획서","Y"
"교양","32","70","70","공개","","사회학의초대","5","3","3","김정원","한국어","핵심교양","사회","상대평가Ⅰ","일반","전체(학부)","일반","전주:진수당 352 ","수 2-A,수 2-B,금 1-A,금 1-B,금 2-A,금 2-B","","50분","강의계획서","Y"
"교양","69","70","70","공개","","사회학의초대","6","3","3","박지애","한국어","핵심교양","사회","상대평가Ⅰ","일반","전체(학부)","일반","전주:사회과학대학 416 ","수 4-A,수 4-B,금 3-A,금 3-B,금 4-A,금 4-B","","50분","강의계획서","Y"
"교양","67","70","70","공개","","사회학의초대","7","3","3","이성호","한국어","핵심교양","사회","상대평가Ⅰ","일반","전체(학부)","일반","전주:공과대학 3호관 403-1 ","화 6-A,화 6-B,화 7-A,화 7-B,목 8-A,목 8-B","","50분","강의계획서","Y"
"교양","70","70","70","공개","","생활속의물리","1","3","3","김주진","한국어","핵심교양","자연","상대평가Ⅰ","일반","전체(학부)","일반","전주:자연과학대학5호관 213 ","화 6-A,화 6-B,화 7-A,화 7-B,목 8-A,목 8-B","","50분","강의계획서","Y"
"교양","70","70","70","공개","","생활속의물리","2","3","3","강석일","한국어","핵심교양","자연","상대평가Ⅰ","일반","전체(학부)","일반","전주:자연과학대학5호관 213 ","수 2-A,수 2-B,금 1-A,금 1-B,금 2-A,금 2-B","","50분","강의계획서","Y"
"교양","23","70","70","공개","","생활속의지구과학과환경","1","3","3","전서령","한국어","핵심교양","자연","상대평가Ⅰ","일반","전체(학부)","일반","전주:자연과학대학4호관 112 ","월 1-A,월 1-B,월 2-A,월 2-B,수 1-A,수 1-B","","50분","강의계획서","Y"
"교양","69","70","70","공개","","생활속의지구과학과환경","2","3","3","이효미","한국어","핵심교양","자연","상대평가Ⅰ","일반","전체(학부)","일반","전주:사범대 본관 506 ","수 7-A,수 7-B,금 6-A,금 6-B,금 7-A,금 7-B","","50분","강의계획서","Y"
"교양","58","60","60","공개","","생활속의화학","1","3","3","김성식","한국어","핵심교양","자연","상대평가Ⅰ","일반","전체(학부)","일반","전주:자연과학대학1호관 108 ","월 3-A,월 3-B,월 4-A,월 4-B,수 3-A,수 3-B","","50분","강의계획서","Y"
"교양","48","60","60","공개","","생활속의화학","2","3","3","김성식","한국어","핵심교양","자연","상대평가Ⅰ","일반","전체(학부)","일반","전주:자연과학대학1호관 108 ","수 9-A,수 9-B,금 8-A,금 8-B,금 9-A,금 9-B","","50분","강의계획서","Y"
"교양","67","70","70","공개","","서양사의이해","1","3","3","배인성","한국어","핵심교양","인간","상대평가Ⅰ","일반","전체(학부)","일반","전주:진수당 353 ","월 1-A,월 1-B,월 2-A,월 2-B,수 1-A,수 1-B","","50분","강의계획서","Y"
"교양","69","70","70","공개","","서양사의이해","2","3","3","배인성","한국어","핵심교양","인간","상대평가Ⅰ","일반","전체(학부)","일반","전주:진수당 352 ","월 3-A,월 3-B,월 4-A,월 4-B,수 3-A,수 3-B","","50분","강의계획서","Y"
"교양","69","70","70","공개","","서양사의이해","3","3","3","배인성","한국어","핵심교양","인간","상대평가Ⅰ","일반","전체(학부)","일반","전주:인문대학1호관 405 ","수 7-A,수 7-B,금 6-A,금 6-B,금 7-A,금 7-B","","50분","강의계획서","Y"
"교양","52","60","60","공개","","수학 1","1","3","3","곽지이","한국어","핵심교양","자연","상대평가Ⅰ","공학","전체(학부)","일반","전주:공과대학 2호관 418 ","수 2-A,수 2-B,금 1-A,금 1-B,금 2-A,금 2-B","건축공 1","50분","강의계획서","Y"
"교양","38","50","50","공개","","수학 1","2","3","3","김선미","한국어","핵심교양","자연","상대평가Ⅰ","공학","전체(학부)","일반","전주:공과대학 4호관 401-1 ","월 3-A,월 3-B,월 4-A,월 4-B,수 3-A,수 3-B","기계공 1","50분","강의계획서","Y"
"교양","46","60","60","공개","","수학 1","3","3","3","소회정","한국어","핵심교양","자연","상대평가Ⅰ","공학","전체(학부)","일반","전주:공과대학 2호관 117 ","화 1-A,화 1-B,화 2-A,화 2-B,목 3-A,목 3-B","기계설계(기계설계) 1,기계설계(나노바이오) 1","50분","강의계획서","Y"
"교양","48","60","60","공개","","수학 1","4","3","3","소회정","한국어","핵심교양","자연","상대평가Ⅰ","공학","전체(학부)","일반","전주:공과대학 2호관 117 ","화 3-A,화 3-B,목 1-A,목 1-B,목 2-A,목 2-B","기계설계(기계설계) 1,기계설계(나노바이오) 1","50분","강의계획서","Y"
"교양","60","60","60","공개","","수학 1","5","3","3","이선영","한국어","핵심교양","자연","상대평가Ⅰ","공학","전체(학부)","일반","전주:공과대학 5호관 503 ","화 6-A,화 6-B,화 7-A,화 7-B,목 8-A,목 8-B","기계시스템 1","50분","강의계획서","Y"
"교양","60","60","60","공개","","수학 1","6","3","3","이정승","한국어","핵심교양","자연","상대평가Ⅰ","공학","전체(학부)","일반","전주:공과대학 5호관 503 ","화 8-A,화 8-B,목 6-A,목 6-B,목 7-A,목 7-B","산업정보시스템공 1,기계시스템 1","50분","강의계획서","Y"
"교양","44","60","60","공개","","수학 1","7","3","3","정수미","한국어","핵심교양","자연","상대평가Ⅰ","공학","전체(학부)","일반","전주:공과대학 9호관 204 ","월 3-A,월 3-B,월 4-A,월 4-B,수 3-A,수 3-B","항공우주공 1","50분","강의계획서","Y"
"교양","41","60","60","공개","","수학 1","8","3","3","최창권","한국어","핵심교양","자연","상대평가Ⅰ","공학","전체(학부)","일반","전주:공과대학 5호관 311 ","월 3-A,월 3-B,월 4-A,월 4-B,수 3-A,수 3-B","토목/환경/자원.에너지공학부(환경공학) 1","50분","강의계획서","Y"
"교양","42","60","60","공개","","수학 1","9","3","3","이선영","한국어","핵심교양","자연","상대평가Ⅰ","공학","전체(학부)","일반","전주:공과대학 3호관 406 ","화 8-A,화 8-B,화 9-A,목 6-B,목 7-A,목 7-B","전기공 1","75분","강의계획서","Y"
"교양","57","60","60","공개","","수학 1","10","3","3","김선미","한국어","핵심교양","자연","상대평가Ⅰ","공학","전체(학부)","일반","전주:공과대학 3호관 408 ","수 2-A,수 2-B,금 1-A,금 1-B,금 2-A,금 2-B","전자공학부 1","50분","강의계획서","Y"
"교양","56","60","60","공개","","수학 1","11","3","3","정수미","한국어","핵심교양","자연","상대평가Ⅰ","공학","전체(학부)","일반","전주:공과대학 3호관 310 ","수 2-A,수 2-B,금 1-A,금 1-B,금 2-A,금 2-B","전자공학부 1","50분","강의계획서","Y"
"교양","57","60","60","공개","","수학 1","12","3","3","이광철","한국어","핵심교양","자연","상대평가Ⅰ","공학","전체(학부)","일반","전주:공과대학 3호관 310 ","수 4-A,수 4-B,금 3-A,금 3-B,금 4-A,금 4-B","전자공학부 1","50분","강의계획서","Y"
"교양","60","60","60","공개","","수학 1","13","3","3","이미성","한국어","핵심교양","자연","상대평가Ⅰ","공학","전체(학부)","일반","전주:공과대학 1호관 249 ","월 3-A,월 3-B,월 4-A,월 4-B,수 3-A,수 3-B","토목/환경/자원.에너지공학부(토목공학) 1","50분","강의계획서","Y"
"교양","46","60","60","공개","","수학 1","14","3","3","이정승","한국어","핵심교양","자연","상대평가Ⅰ","공학","전체(학부)","일반","전주:공과대학 2호관 116 ","화 1-A,화 1-B,화 2-A,화 2-B,목 3-A,목 3-B","IT지능정보공학과 1","50분","강의계획서","Y"
"교양","55","60","60","공개","","수학 1","15","3","3","최일선","한국어","핵심교양","자연","상대평가Ⅰ","공학","전체(학부)","일반","전주:공과대학 1호관 321 ","화 1-A,화 1-B,화 2-A,화 2-B,목 3-A,목 3-B","소프트웨어공 1,융합기술공학부(IT응용시스템공학) 1","50분","강의계획서","Y"
"교양","46","60","60","공개","","수학 1","16","3","3","곽지이","한국어","핵심교양","자연","상대평가Ⅰ","공학","전체(학부)","일반","전주:공과대학 6호관 309 ","월 3-A,월 3-B,월 4-A,월 4-B,수 3-A,수 3-B","화학공학부 1","50분","강의계획서","Y"
"교양","47","60","60","공개","","수학 1","17","3","3","고석현","한국어","핵심교양","자연","상대평가Ⅰ","공학","전체(학부)","일반","전주:공과대학 6호관 309 ","수 4-A,수 4-B,금 3-A,금 3-B,금 4-A,금 4-B","화학공학부 1","50분","강의계획서","Y"
"교양","40","60","60","공개","","수학 1","18","3","3","이광철","한국어","핵심교양","자연","상대평가Ⅰ","일반","전체(학부)","일반","전주:공과대학 9호관 306 ","수 2-A,수 2-B,금 1-A,금 1-B,금 2-A,금 2-B","고분자섬유나노공학부(고분자나노공학) 1","50분","강의계획서","Y"
"교양","42","60","60","공개","","수학 1","19","3","3","곽지이","한국어","핵심교양","자연","상대평가Ⅰ","일반","전체(학부)","일반","전주:공과대학 2호관 417 ","수 4-A,수 4-B,금 3-A,금 3-B,금 4-A,금 4-B","고분자섬유나노공학부(유기소재섬유공학) 1","50분","강의계획서","Y"
"교양","54","60","60","공개","","수학 1","20","3","3","소회정","한국어","핵심교양","자연","상대평가Ⅰ","일반","전체(학부)","일반","전주:공과대학 1호관 321 ","월 1-A,월 1-B,월 2-A,월 2-B,수 1-A,수 1-B","도시공 1,융합기술공학부(IT융합기전차공학) 1","50분","강의계획서","Y"
"교양","52","60","60","공개","","수학 1","21","3","3","이정승","한국어","핵심교양","자연","상대평가Ⅰ","일반","전체(학부)","일반","전주:공과대학 3호관 403-1 ","수 2-A,수 2-B,금 1-A,금 1-B,금 2-A,금 2-B","컴퓨터공학부 1","50분","강의계획서","Y"
"교양","45","60","60","공개","","수학 1","22","3","3","고석현","한국어","핵심교양","자연","상대평가Ⅰ","일반","전체(학부)","일반","전주:공과대학 3호관 311 ","수 2-A,수 2-B,금 1-A,금 1-B,금 2-A,금 2-B","컴퓨터공학부 1,양자시스템공학과 1","50분","강의계획서","Y"
"교양","40","60","60","공개","","수학 1","23","3","3","최일선","한국어","핵심교양","자연","상대평가Ⅰ","일반","전체(학부)","일반","전주:공과대학 4호관 403 ","수 2-A,수 2-B,금 1-A,금 1-B,금 2-A,금 2-B","신소재(정보소재) 1","50분","강의계획서","Y"
"교양","44","60","60","공개","","수학 1","24","3","3","고석현","한국어","핵심교양","자연","상대평가Ⅰ","일반","전체(학부)","일반","전주:공과대학 5호관 311 ","화 6-A,화 6-B,화 7-A,화 7-B,목 8-A,목 8-B","신소재(전자재료) 1","50분","강의계획서","Y"
"교양","35","60","60","공개","","수학 1","25","3","3","이미성","한국어","핵심교양","자연","상대평가Ⅰ","일반","전체(학부)","일반","전주:공과대학 4호관 402 ","수 4-A,수 4-B,금 3-A,금 3-B,금 4-A,금 4-B","신소재(금속시스템) 1","50분","강의계획서","Y"
"교양","37","60","60","공개","","수학 1","26","3","3","김선미","한국어","핵심교양","자연","상대평가Ⅰ","일반","전체(학부)","일반","전주:공과대학 2호관 117 ","월 1-A,월 1-B,월 2-A,월 2-B,수 1-A,수 1-B","토목/환경/자원.에너지공학부(자원.에너지공학) 1","50분","강의계획서","Y"
"교양","57","57","57","공개","","수학 1","27","3","3","이선영","한국어","핵심교양","자연","상대평가Ⅰ","일반","전체(학부)","일반","전주:농업생명과학대학2호관 405 ","수 9-A,수 9-B,금 8-A,금 8-B,금 9-A,금 9-B","동물자원과 1,동물생명공학과 1","50분","강의계획서","Y"
"교양","54","60","60","공개","","수학 1","28","3","3","김선미","한국어","핵심교양","자연","상대평가Ⅰ","일반","전체(학부)","일반","전주:농업생명과학대학2호관강당 100-2 ","수 4-A,수 4-B,금 3-A,금 3-B,금 4-A,금 4-B","생물산업기계 1,지역건설공학과 1","50분","강의계획서","Y"
"교양","50","60","75","공개","","수학 1","29","3","3","고석현","한국어","핵심교양","자연","상대평가Ⅰ","일반","전체(학부)","일반","전주:농업생명과학대학2호관 404 ","수 9-A,수 9-B,금 8-A,금 8-B,금 9-A,금 9-B","식품공학과 1","50분","강의계획서","Y"
"교양","43","60","60","비공개","학과요청","수학 1","30","3","3","소회정","한국어","핵심교양","자연","상대평가Ⅰ","일반","전체(학부)","일반","전주:상과대학 1호관 203 ","월 3-A,월 3-B,월 4-A,월 4-B,수 3-A,수 3-B","경제학부 1","50분","강의계획서","Y"
